"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Guntur","2021-07-29","2021","07","0.000677779","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-30","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2021-07-31","2021","07","0.878666184","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-01","2021","07","37.31433299","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-02","2021","07","24.51825879","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-03","2021","07","4.107380723","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-04","2021","07","0.271451721","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-05","2021","07","5.396011354","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-06","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-07","2021","07","0.123994401","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-08","2021","07","10.72705727","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-09","2021","07","3.96E-5","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-10","2021","07","14.92697476","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-11","2021","07","8.779896966","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-12","2021","07","10.14015825","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-13","2021","07","17.01696771","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-14","2021","07","18.35613024","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-15","2021","07","15.44136364","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-16","2021","07","9.921546634","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-17","2021","07","1.264898033","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-18","2021","07","13.46564375","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-19","2021","07","6.57173116","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-20","2021","07","2.495762745","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-21","2021","07","4.05995934","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-22","2021","07","59.51046044","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-23","2021","07","54.62496598","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-24","2021","07","11.24793188","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-25","2021","07","0.031473998","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-26","2021","07","13.11569541","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-27","2021","07","0.363149025","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-28","2021","07","NA","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-29","2021","07","0.491480756","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-30","2021","07","0.044097403","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2021-07-31","2021","07","0.856794431","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-01","2021","07","0.034423391","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-02","2021","07","0.012666719","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-03","2021","07","1.289058065","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-04","2021","07","8.532625541","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-05","2021","07","13.85535093","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-06","2021","07","6.214346303","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-07","2021","07","1.508565219","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-08","2021","07","21.04731814","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-09","2021","07","4.771478294","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-10","2021","07","14.60768768","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-11","2021","07","0.077670901","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-12","2021","07","0.154679988","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-13","2021","07","0.332046564","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-14","2021","07","6.029779531","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-15","2021","07","24.22517259","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-16","2021","07","6.891231784","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2021-07-17","2021","07","5.31207695","IMD GRID MODEL"
