"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Prakasam","2022-07-21","2022","07","2.13726359","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-22","2022","07","24.48620518","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-23","2022","07","17.44402137","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-24","2022","07","0.649819591","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-25","2022","07","0.039195048","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-26","2022","07","5.193486065","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-27","2022","07","4.740530185","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-28","2022","07","0.178842771","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2022-07-29","2022","07","NA","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2022-07-01","2022","07","15.11445304","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2022-07-02","2022","07","4.429859932","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2022-07-03","2022","07","0.845563586","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2022-07-04","2022","07","0.235202239","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2022-07-05","2022","07","0.099893128","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2022-07-06","2022","07","9.659665718","IMD GRID MODEL"
